 2013 12  4  3 37   37.453006  2  5          -0.100     0.273           0.000    -3015742.307    -3015742.407       -0.100    -0.000     0.000
 2013 12  4  3 37   42.453001  2  5          -0.145     0.273           0.000    -3016048.222    -3016048.367       -0.145    -0.000     0.000
 2013 12  4  3 37   47.452997  2  5          -0.348     0.255           0.000    -3016353.712    -3016354.061       -0.349    -0.000     0.000
 2013 12  4  3 37   52.452992  2  5          -0.330     0.296           0.000    -3016659.217    -3016659.547       -0.331    -0.000     0.000
 2013 12  4  3 37   57.452987  2  5          -0.316     0.282           0.000    -3016964.309    -3016964.625       -0.316    -0.000     0.000
 2013 12  4  3 38    2.452983  2  5          -0.388     0.270           0.000    -3017269.050    -3017269.438       -0.389    -0.000     0.000
 2013 12  4  3 38    7.452978  2  5          -0.424     0.268           0.000    -3017573.461    -3017573.885       -0.425    -0.000     0.000
 2013 12  4  3 38   12.452974  2  5          -0.221     0.254           0.000    -3017877.895    -3017878.116       -0.221    -0.000     0.000
 2013 12  4  3 38   17.452969  2  5          -0.398     0.271           0.000    -3018181.677    -3018182.075       -0.398    -0.000     0.000
 2013 12  4  3 38   22.452965  2  5          -0.157     0.279           0.000    -3018485.493    -3018485.649       -0.157    -0.000     0.000
 2013 12  4  3 38   27.452960  2  5          -0.297     0.271           0.000    -3018788.794    -3018789.091       -0.298    -0.000     0.000
 2013 12  4  3 38   32.452955  2  5          -0.126     0.268           0.000    -3019092.024    -3019092.149       -0.126    -0.000     0.000
 2013 12  4  3 38   37.452951  2  5          -0.277     0.270           0.000    -3019394.768    -3019395.045       -0.277    -0.000     0.000
 2013 12  4  3 38   42.452946  2  5          -0.132     0.226           0.000    -3019697.418    -3019697.550       -0.132    -0.000     0.000
 2013 12  4  3 38   47.452942  2  5          -0.159     0.239           0.000    -3019999.653    -3019999.811       -0.159    -0.000     0.000
 2013 12  4  3 38   52.452937  2  5          -0.369     0.264           0.000    -3020301.538    -3020301.908       -0.370    -0.000     0.000
 2013 12  4  3 38   57.452933  2  5          -0.203     0.249           0.000    -3020603.326    -3020603.530       -0.204    -0.000     0.000
 2013 12  4  3 39    2.452928  2  5          -0.336     0.246           0.000    -3020904.705    -3020905.041       -0.337    -0.000     0.000
 2013 12  4  3 39    7.452924  2  5          -0.293     0.257           0.000    -3021205.782    -3021206.074       -0.293    -0.000     0.000
 2013 12  4  3 39   12.452919  2  5          -0.118     0.230           0.000    -3021506.910    -3021507.028       -0.119    -0.000     0.000
 2013 12  4  3 39   17.452915  2  5          -0.277     0.248           0.000    -3021807.262    -3021807.539       -0.277    -0.000     0.000
 2013 12  4  3 39   22.452910  2  5          -0.369     0.265           0.000    -3022107.536    -3022107.904       -0.369    -0.000     0.000
 2013 12  4  3 39   27.452905  2  5          -0.251     0.246           0.000    -3022407.606    -3022407.857       -0.251    -0.000     0.000
 2013 12  4  3 39   32.452901  2  5          -0.325     0.248           0.000    -3022707.282    -3022707.607       -0.326    -0.000     0.000
 2013 12  4  3 39   37.452896  2  5          -0.279     0.272           0.000    -3023006.805    -3023007.084       -0.280    -0.000     0.000
 2013 12  4  3 39   42.452892  2  5          -0.090     0.249           0.000    -3023306.113    -3023306.203       -0.091    -0.000     0.000
 2013 12  4  3 39   47.452887  2  5          -0.306     0.251           0.000    -3023604.815    -3023605.122       -0.307    -0.000     0.000
 2013 12  4  3 39   52.452883  2  5          -0.318     0.270           0.000    -3023903.434    -3023903.752       -0.318    -0.000     0.000
 2013 12  4  3 39   57.452878  2  5          -0.224     0.241           0.000    -3024201.886    -3024202.110       -0.225    -0.000     0.000
 2013 12  4  3 40    2.452874  2  3          -0.598     0.090           0.000      749275.954      749275.357       -0.596     0.002     0.000
 2013 12  4  3 40    2.452874  2  5          -0.298     0.250           0.000    -3024499.868    -3024500.167       -0.299    -0.000     0.000
 2013 12  4  3 40    2.453623  3  5           0.287     0.203           0.000    -3773775.726    -3773775.438        0.284    -0.003     0.000
 2013 12  4  3 40    7.452869  2  3          -0.631     0.184           0.000      747619.517      747618.887       -0.629     0.002     0.000
 2013 12  4  3 40    7.452869  2  5          -0.430     0.279           0.000    -3024797.525    -3024797.955       -0.431    -0.000     0.000
 2013 12  4  3 40    7.453617  3  5           0.182     0.196           0.000    -3772416.940    -3772416.758        0.179    -0.003     0.000
 2013 12  4  3 40   12.452865  2  3          -0.385     0.193           0.000      745962.732      745962.347       -0.383     0.002     0.000
 2013 12  4  3 40   12.452865  2  5          -0.366     0.281           0.000    -3025095.080    -3025095.446       -0.367    -0.000     0.000
 2013 12  4  3 40   12.453611  3  5          -0.021     0.251           0.000    -3771057.670    -3771057.690       -0.023    -0.003     0.000
 2013 12  4  3 40   17.452860  2  3          -0.302     0.155           0.000      744305.952      744305.650       -0.300     0.002     0.000
 2013 12  4  3 40   17.452860  2  5          -0.249     0.251           0.000    -3025392.380    -3025392.629       -0.249    -0.000     0.000
 2013 12  4  3 40   17.453604  3  5          -0.030     0.182           0.000    -3769698.223    -3769698.253       -0.033    -0.003     0.000
 2013 12  4  3 40   22.452856  2  3          -0.661     0.161           0.000      742649.010      742648.349       -0.659     0.002     0.000
 2013 12  4  3 40   22.452856  2  5          -0.442     0.257           0.000    -3025689.099    -3025689.541       -0.442    -0.000     0.000
