 2013 12  4  3 32   32.453286  2  5          -0.052     0.383           0.000      -64622.478      -64622.530       -0.052     0.000     0.000
 2013 12  4  3 32   37.453282  2  5           0.309     0.332           0.000      -64563.223      -64562.914        0.309     0.000     0.000
 2013 12  4  3 32   42.453277  2  5          -0.514     0.409           0.000      -64508.860      -64509.374       -0.513     0.000     0.000
 2013 12  4  3 32   47.453272  2  5           0.012     1.116           0.000      -64455.622      -64455.610        0.013     0.000     0.000
 2013 12  4  3 32   52.453268  2  5           0.154     0.683           0.000      -64400.045      -64399.890        0.155     0.000     0.000
 2013 12  4  3 32   57.453263  2  5          -0.425     0.059           0.000      -64341.148      -64341.572       -0.424     0.000     0.000
 2013 12  4  3 33    2.453259  2  5          -0.041     0.717           0.000      -64286.386      -64286.427       -0.041     0.000     0.000
 2013 12  4  3 33    7.453254  2  5           0.163     0.662           0.000      -64232.288      -64232.126        0.163     0.000     0.000
 2013 12  4  3 33   12.453249  2  5          -0.166     0.563           0.000      -64174.882      -64175.048       -0.166     0.000     0.000
 2013 12  4  3 33   17.453245  2  5          -0.113     0.194           0.000      -64121.139      -64121.252       -0.112     0.000     0.000
 2013 12  4  3 33   22.453240  2  5          -0.164     0.563           0.000      -64063.201      -64063.366       -0.164     0.000     0.000
 2013 12  4  3 33   27.453235  2  5          -0.381     0.418           0.000      -64006.742      -64007.123       -0.381     0.000     0.000
 2013 12  4  3 33   32.453231  2  5           0.289     0.862           0.000      -63952.621      -63952.332        0.289     0.000     0.000
 2013 12  4  3 33   37.453226  2  5           0.096     0.222           0.000      -63897.381      -63897.285        0.097     0.000     0.000
 2013 12  4  3 33   42.453222  2  5          -0.070     0.205           0.000      -63842.461      -63842.531       -0.070     0.000     0.000
 2013 12  4  3 33   47.453217  2  5          -0.044     0.564           0.000      -63785.434      -63785.478       -0.044     0.000     0.000
 2013 12  4  3 33   52.453212  2  5           0.000     0.179           0.000           0.000      -63731.419       -0.807     0.064     4.913
 2013 12  4  3 33   57.453208  2  5           0.000     0.466           0.000           0.000      -63676.129       -1.258     0.064     4.899
 2013 12  4  3 34    2.453203  2  5           0.000     0.457           0.000           0.000      -63617.045        1.943     0.064     4.886
 2013 12  4  3 34    7.453199  2  5           0.000     0.738           0.000           0.000      -63563.751       -0.533     0.064     4.873
 2013 12  4  3 34   12.453194  2  5          -0.346     0.339           0.000      -63507.488      -63507.833       -0.345     0.000     0.000
 2013 12  4  3 34   17.453189  2  5          -0.190     0.213           0.000      -63452.575      -63452.765       -0.190     0.000     0.000
 2013 12  4  3 34   22.453185  2  5           0.101     0.331           0.000      -63395.852      -63395.751        0.102     0.000     0.000
 2013 12  4  3 34   27.453180  2  5          -0.001     0.597           0.000      -63339.707      -63339.708       -0.000     0.000     0.000
 2013 12  4  3 34   32.453175  2  5          -0.289     0.605           0.000      -63284.863      -63285.152       -0.288     0.000     0.000
 2013 12  4  3 34   37.453171  2  5          -0.152     0.337           0.000      -63226.692      -63226.843       -0.151     0.000     0.000
 2013 12  4  3 34   42.453166  2  5          -0.287     0.122           0.000      -63173.787      -63174.074       -0.287     0.000     0.000
 2013 12  4  3 34   47.453162  2  5          -0.326     0.789           0.000      -63116.653      -63116.978       -0.325     0.000     0.000
 2013 12  4  3 34   52.453157  2  5           0.228     0.588           0.000      -63060.172      -63059.944        0.229     0.000     0.000
 2013 12  4  3 34   57.453152  2  5          -0.483     0.833           0.000      -63006.563      -63007.046       -0.482     0.000     0.000
 2013 12  4  3 35    2.453148  2  5          -0.366     0.841           0.000      -62949.463      -62949.829       -0.366     0.000     0.000
 2013 12  4  3 35    7.453143  2  5           0.144     0.557           0.000      -62890.598      -62890.454        0.144     0.000     0.000
 2013 12  4  3 35   12.453139  2  5          -0.038     0.353           0.000      -62834.599      -62834.637       -0.038     0.000     0.000
 2013 12  4  3 35   17.453134  2  5          -0.633     0.710           0.000      -62780.596      -62781.229       -0.633     0.000     0.000
 2013 12  4  3 35   22.453129  2  5           0.788     0.256           0.000      -62726.083      -62725.296        0.788     0.000     0.000
 2013 12  4  3 35   27.453125  2  5           0.289     0.322           0.000      -62667.398      -62667.109        0.290     0.000     0.000
 2013 12  4  3 35   32.453120  2  5          -0.841     0.249           0.000      -62612.555      -62613.396       -0.840     0.000     0.000
 2013 12  4  3 35   37.453116  2  5           0.306     0.233           0.000      -62557.855      -62557.549        0.306     0.000     0.000
 2013 12  4  3 35   42.453111  2  5          -0.324     0.963           0.000      -62500.532      -62500.855       -0.323     0.000     0.000
 2013 12  4  3 35   47.453106  2  5          -0.106     1.099           0.000      -62446.429      -62446.535       -0.106     0.000     0.000
 2013 12  4  3 35   52.453102  2  5           0.259     0.277           0.000      -62389.233      -62388.974        0.260     0.000     0.000
 2013 12  4  3 35   57.453097  2  5          -0.175     1.114           0.000      -62333.269      -62333.444       -0.175     0.000     0.000
 2013 12  4  3 36    2.453093  2  5          -0.107     0.829           0.000      -62277.844      -62277.951       -0.107     0.000     0.000
 2013 12  4  3 36    7.453088  2  5          -0.207     0.113           0.000      -62222.603      -62222.810       -0.206     0.000     0.000
 2013 12  4  3 36   12.453083  2  5           0.152     0.459           0.000      -62165.861      -62165.709        0.152     0.000     0.000
 2013 12  4  3 36   17.453079  2  5          -0.546     0.834           0.000      -62107.517      -62108.063       -0.545     0.000     0.000
 2013 12  4  3 36   22.453074  2  5           0.225     0.564           0.000      -62053.243      -62053.018        0.225     0.000     0.000
 2013 12  4  3 36   27.453070  2  5          -0.036     0.481           0.000      -61996.339      -61996.375       -0.036     0.000     0.000
 2013 12  4  3 36   32.453065  2  5          -0.265     0.903           0.000      -61941.128      -61941.392       -0.264     0.000     0.000
 2013 12  4  3 36   37.453061  2  5          -0.239     0.445           0.000      -61886.275      -61886.514       -0.239     0.000     0.000
 2013 12  4  3 36   42.453056  2  5          -0.313     0.564           0.000      -61828.945      -61829.257       -0.312     0.000     0.000
 2013 12  4  3 36   47.453051  2  5           0.278     0.263           0.000      -61774.322      -61774.044        0.279     0.000     0.000
 2013 12  4  3 36   52.453047  2  5          -0.571     1.272           0.000      -61719.323      -61719.893       -0.570     0.000     0.000
 2013 12  4  3 36   57.453042  2  5           0.117     1.087           0.000      -61661.928      -61661.811        0.117     0.000     0.000
 2013 12  4  3 37    2.453038  2  5          -0.344     1.227           0.000      -61604.739      -61605.082       -0.343     0.000     0.000
 2013 12  4  3 37    7.453033  2  5          -0.011     0.612           0.000      -61549.891      -61549.902       -0.010     0.000     0.000
 2013 12  4  3 37   12.453029  2  5           0.105     0.526           0.000      -61491.812      -61491.708        0.105     0.000     0.000
 2013 12  4  3 37   17.453024  2  5          -0.111     0.228           0.000      -61436.839      -61436.949       -0.110     0.000     0.000
 2013 12  4  3 37   22.453019  2  5          -0.132     0.431           0.000      -61381.597      -61381.729       -0.131     0.000     0.000
 2013 12  4  3 37   27.453015  2  5          -0.065     0.540           0.000      -61324.575      -61324.640       -0.064     0.000     0.000
 2013 12  4  3 37   32.453010  2  5          -0.046     0.968           0.000      -61268.837      -61268.884       -0.046     0.000     0.000
 2013 12  4  3 37   37.453006  2  5          -0.129     0.378           0.000      -61214.052      -61214.180       -0.128     0.000     0.000
 2013 12  4  3 37   42.453001  2  5          -0.019     0.613           0.000      -61157.347      -61157.366       -0.018     0.000     0.000
 2013 12  4  3 37   47.452997  2  5          -0.265     0.566           0.000      -61099.375      -61099.640       -0.264     0.000     0.000
 2013 12  4  3 37   52.452992  2  5          -0.258     0.551           0.000      -61042.515      -61042.773       -0.258     0.000     0.000
 2013 12  4  3 37   57.452987  2  5           0.041     0.815           0.000      -60988.666      -60988.625        0.041     0.000     0.000
 2013 12  4  3 38    2.452983  2  5          -0.014     0.315           0.000      -60931.928      -60931.941       -0.013     0.000     0.000
 2013 12  4  3 38    7.452978  2  5          -0.408     0.401           0.000      -60874.738      -60875.146       -0.407     0.000     0.000
 2013 12  4  3 38   12.452974  2  5           0.293     0.116           0.000      -60818.582      -60818.289        0.294     0.000     0.000
 2013 12  4  3 38   17.452969  2  5          -0.039     0.368           0.000      -60763.182      -60763.220       -0.038     0.000     0.000
 2013 12  4  3 38   22.452965  2  5           0.058     0.872           0.000      -60706.598      -60706.541        0.058     0.000     0.000
 2013 12  4  3 38   27.452960  2  5          -0.266     0.309           0.000      -60650.181      -60650.446       -0.265     0.000     0.000
 2013 12  4  3 38   32.452955  2  5          -0.019     0.599           0.000      -60594.942      -60594.961       -0.018     0.000     0.000
 2013 12  4  3 38   37.452951  2  5          -0.081     0.986           0.000      -60535.891      -60535.972       -0.081     0.000     0.000
 2013 12  4  3 38   42.452946  2  5           0.190     0.354           0.000      -60482.912      -60482.721        0.191     0.000     0.000
 2013 12  4  3 38   47.452942  2  5           0.008     0.567           0.000      -60426.072      -60426.064        0.008     0.000     0.000
 2013 12  4  3 38   52.452937  2  5          -0.259     0.792           0.000      -60369.983      -60370.242       -0.259     0.000     0.000
 2013 12  4  3 38   57.452933  2  5          -0.336     0.529           0.000      -60312.353      -60312.689       -0.335     0.000     0.000
 2013 12  4  3 39    2.452928  2  5          -0.018     0.192           0.000      -60255.164      -60255.182       -0.018     0.000     0.000
 2013 12  4  3 39    7.452924  2  5          -0.254     0.466           0.000      -60198.160      -60198.413       -0.253     0.000     0.000
 2013 12  4  3 39   12.452919  2  5           0.613     0.428           0.000      -60143.943      -60143.330        0.614     0.000     0.000
 2013 12  4  3 39   17.452915  2  5           0.024     0.386           0.000      -60088.125      -60088.101        0.024     0.000     0.000
 2013 12  4  3 39   22.452910  2  5          -0.339     0.854           0.000      -60030.825      -60031.165       -0.339     0.000     0.000
 2013 12  4  3 39   27.452905  2  5          -0.000     0.639           0.000      -59976.295      -59976.295       -0.000     0.000     0.000
 2013 12  4  3 39   32.452901  2  5          -0.421     1.357           0.000      -59919.003      -59919.424       -0.421     0.000     0.000
 2013 12  4  3 39   37.452896  2  5           0.176     0.808           0.000      -59863.777      -59863.601        0.176     0.000     0.000
 2013 12  4  3 39   42.452892  2  5           0.369     0.290           0.000      -59803.780      -59803.410        0.370     0.000     0.000
 2013 12  4  3 39   47.452887  2  5          -0.047     0.574           0.000      -59748.764      -59748.811       -0.047     0.000     0.000
 2013 12  4  3 39   52.452883  2  5          -0.179     0.298           0.000      -59694.644      -59694.824       -0.179     0.000     0.000
 2013 12  4  3 39   57.452878  2  5           0.475     1.108           0.000      -59635.288      -59634.813        0.475     0.000     0.000
 2013 12  4  3 40    2.452874  2  3          -0.554     1.652           0.000     -331216.931     -331217.485       -0.555     0.000     0.000
 2013 12  4  3 40    2.452874  2  5           0.049     0.303           0.000      -59579.416      -59579.367        0.049     0.000     0.000
 2013 12  4  3 40    2.453623  3  5           0.590     1.414           0.000      271637.523      271638.114        0.592     0.000     0.000
 2013 12  4  3 40    7.452869  2  3          -0.579     0.616           0.000     -331279.122     -331279.701       -0.581     0.000     0.000
 2013 12  4  3 40    7.452869  2  5          -0.186     0.445           0.000      -59522.082      -59522.268       -0.186     0.000     0.000
 2013 12  4  3 40    7.453617  3  5           0.389     0.622           0.000      271757.040      271757.429        0.391     0.000     0.000
 2013 12  4  3 40   12.452865  2  5          -0.081     0.736           0.000      -59468.799      -59468.880       -0.081     0.000     0.000
 2013 12  4  3 40   17.452860  2  3           0.227     0.422           0.000     -331400.707     -331400.480        0.226     0.000     0.000
 2013 12  4  3 40   17.452860  2  5           0.103     0.351           0.000      -59408.416      -59408.313        0.103     0.000     0.000
 2013 12  4  3 40   17.453604  3  5          -0.128     0.088           0.000      271992.289      271992.161       -0.126     0.000     0.000
 2013 12  4  3 40   22.452856  2  5          -0.212     0.416           0.000      -59352.617      -59352.829       -0.211     0.000     0.000
 2013 12  4  3 40   22.453598  3  5           0.196     2.041           0.000      272106.062      272106.258        0.197     0.000     0.000
 2013 12  4  3 40   27.452851  2  3           0.631     0.685           0.000     -331529.305     -331528.674        0.629     0.000     0.000
 2013 12  4  3 40   27.452851  2  5          -0.013     0.800           0.000      -59299.905      -59299.918       -0.013     0.000     0.000
 2013 12  4  3 40   27.453592  3  5          -0.638     0.183           0.000      272229.392      272228.754       -0.637     0.000     0.000
 2013 12  4  3 40   32.452846  2  3          -0.145     1.335           0.000     -331589.200     -331589.345       -0.147     0.000     0.000
 2013 12  4  3 40   32.452846  2  5          -0.009     0.640           0.000      -59242.879      -59242.889       -0.009     0.000     0.000
 2013 12  4  3 40   32.453586  3  5           0.123     1.456           0.000      272346.321      272346.444        0.125     0.000     0.000
 2013 12  4  3 40   37.452842  2  3           0.001     0.704           0.000     -331649.248     -331649.246       -0.000     0.000     0.000
 2013 12  4  3 40   37.452842  2  5          -0.008     0.590           0.000      -59184.181      -59184.188       -0.008     0.000     0.000
 2013 12  4  3 40   37.453580  3  5          -0.007     0.293           0.000      272465.061      272465.054       -0.006     0.000     0.000
 2013 12  4  3 40   42.452837  2  5          -0.023     0.380           0.000      -59126.463      -59126.486       -0.022     0.000     0.000
 2013 12  4  3 40   47.452833  2  3          -0.019     1.752           0.000     -331777.937     -331777.955       -0.020     0.000     0.000
 2013 12  4  3 40   47.452833  2  5          -0.015     0.547           0.000      -59072.627      -59072.642       -0.015     0.000     0.000
 2013 12  4  3 40   52.452828  2  3          -0.010     1.258           0.000     -331832.286     -331832.296       -0.011     0.000     0.000
 2013 12  4  3 40   52.452828  2  5          -0.006     0.257           0.000      -59015.321      -59015.327       -0.006     0.000     0.000
 2013 12  4  3 40   52.453561  3  5          -0.003     1.164           0.000      272816.965      272816.962       -0.002     0.000     0.000
 2013 12  4  3 40   57.452824  2  3          -0.007     0.440           0.000     -331896.746     -331896.754       -0.009     0.000     0.000
 2013 12  4  3 40   57.452824  2  5           0.006     0.506           0.000      -58960.252      -58960.246        0.007     0.000     0.000
 2013 12  4  3 40   57.453555  3  5           0.017     0.439           0.000      272936.488      272936.505        0.018     0.000     0.000
 2013 12  4  3 41    2.452819  2  3           0.031     0.510           0.000     -331957.168     -331957.137        0.029     0.000     0.000
 2013 12  4  3 41    2.452819  2  5           0.031     0.177           0.000      -58901.867      -58901.837        0.031     0.000     0.000
 2013 12  4  3 41    2.453549  3  5          -0.001     0.430           0.000      273055.293      273055.293        0.001     0.000     0.000
 2013 12  4  3 41    7.452815  2  3           0.000     1.499           0.000     -332027.072           0.000       -9.642     0.051    -3.536
